@relation data
@attribute V1 {'1','2','3','4','5'}
@attribute V2 {'1','2'}
@attribute V3 {'1','2','3','4','5'}
@attribute V4 {'1','2'}
@attribute V5 numeric
@attribute Class {'1','2','3','4'}
@data
'1','1','2','2',-0.469514660760353,'2'
'1','1','1','2',-0.336295391879955,'2'
'1','1','4','2',-0.169771305779457,'2'
'1','1','5','2',-0.402905026320154,'2'
'1','1','3','2',-0.236380940219656,'2'
'1','1','2','1',-0.502819477980452,'2'
'1','1','1','1',-0.502819477980452,'2'
'1','1','4','1',-0.436209843540253,'2'
'1','1','5','1',-0.502819477980452,'2'
'1','1','3','1',-0.436209843540253,'2'
'1','1','2','2',-0.402905026320154,'1'
'1','1','1','2',1.59538400688582,'1'
'1','1','4','2',2.42800443738831,'1'
'1','1','5','2',0.229886500861737,'1'
'1','1','3','2',2.09495626518731,'1'
'1','1','2','1',-0.436209843540253,'1'
'1','1','1','1',-0.069856854119159,'1'
'1','1','4','1',2.9275766956898,'1'
'1','1','5','1',-0.302990574659855,'1'
'1','1','3','1',0.463020221402434,'1'
'1','1','2','2',-0.469514660760353,'4'
'1','1','1','2',0.329800952522035,'4'
'1','1','4','2',0.0966672319813386,'4'
'1','1','5','2',-0.336295391879955,'4'
'1','1','3','2',-0.203076122999557,'4'
'1','1','2','1',-0.469514660760353,'4'
'1','1','1','1',-0.336295391879955,'4'
'1','1','4','1',1.26233583468482,'4'
'1','1','5','1',-0.469514660760353,'4'
'1','1','3','1',-0.103161671339258,'4'
'1','1','2','2',-0.436209843540253,'3'
'1','1','1','2',-0.436209843540253,'3'
'1','1','4','2',-0.502819477980452,'3'
'1','1','5','2',-0.502819477980452,'3'
'1','1','3','2',-0.469514660760353,'3'
'1','1','2','1',-0.502819477980452,'3'
'1','1','1','1',-0.502819477980452,'3'
'1','1','4','1',-0.369600209100054,'3'
'1','1','5','1',-0.502819477980452,'3'
'1','1','3','1',-0.402905026320154,'3'
'2','1','2','2',-0.502819477980452,'2'
'2','1','1','2',0.296496135301936,'2'
'2','1','4','2',0.0633624147612391,'2'
'2','1','5','2',-0.402905026320154,'2'
'2','1','3','2',-0.136466488559358,'2'
'2','1','2','1',-0.502819477980452,'2'
'2','1','1','1',-0.402905026320154,'2'
'2','1','4','1',-0.269685757439756,'2'
'2','1','5','1',-0.502819477980452,'2'
'2','1','3','1',-0.469514660760353,'2'
'2','1','2','2',-0.469514660760353,'1'
'2','1','1','2',3.99333084673298,'1'
'2','1','4','2',2.4613092546084,'1'
'2','1','5','2',0.363105769742135,'1'
'2','1','3','2',1.76190809298631,'1'
'2','1','2','1',-0.402905026320154,'1'
'2','1','1','1',0.796068393603429,'1'
'2','1','4','1',6.09153433159925,'1'
'2','1','5','1',-0.269685757439756,'1'
'2','1','3','1',1.22903101746472,'1'
'2','1','2','2',-0.469514660760353,'4'
'2','1','1','2',0.629544307502931,'4'
'2','1','4','2',-0.0365520368990594,'4'
'2','1','5','2',-0.469514660760353,'4'
'2','1','3','2',-0.169771305779457,'4'
'2','1','2','1',-0.369600209100054,'4'
'2','1','1','1',0.396410586962234,'4'
'2','1','4','1',2.36139480294811,'4'
'2','1','5','1',-0.269685757439756,'4'
'2','1','3','1',0.0633624147612391,'4'
'2','1','2','2',-0.502819477980452,'3'
'2','1','1','2',-0.436209843540253,'3'
'2','1','4','2',-0.469514660760353,'3'
'2','1','5','2',-0.502819477980452,'3'
'2','1','3','2',-0.469514660760353,'3'
'2','1','2','1',-0.469514660760353,'3'
'2','1','1','1',-0.269685757439756,'3'
'2','1','4','1',-0.203076122999557,'3'
'2','1','5','1',-0.502819477980452,'3'
'2','1','3','1',-0.469514660760353,'3'
'3','1','2','2',-0.502819477980452,'2'
'3','1','1','2',0.363105769742135,'2'
'3','1','4','2',-0.369600209100054,'2'
'3','1','5','2',-0.436209843540253,'2'
'3','1','3','2',-0.336295391879955,'2'
'3','1','2','1',-0.502819477980452,'2'
'3','1','1','1',-0.369600209100054,'2'
'3','1','4','1',-0.502819477980452,'2'
'3','1','5','1',-0.502819477980452,'2'
'3','1','3','1',-0.436209843540253,'2'
'3','1','2','2',-0.436209843540253,'1'
'3','1','1','2',3.49375858843149,'1'
'3','1','4','2',1.56207918966572,'1'
'3','1','5','2',0.0633624147612391,'1'
'3','1','3','2',0.463020221402434,'1'
'3','1','2','1',-0.0365520368990594,'1'
'3','1','1','1',3.96002602951288,'1'
'3','1','4','1',1.16242138302452,'1'
'3','1','5','1',-0.336295391879955,'1'
'3','1','3','1',0.562934673062732,'1'
'3','1','2','2',-0.469514660760353,'4'
'3','1','1','2',0.396410586962234,'4'
'3','1','4','2',-0.169771305779457,'4'
'3','1','5','2',-0.436209843540253,'4'
'3','1','3','2',-0.402905026320154,'4'
'3','1','2','1',-0.069856854119159,'4'
'3','1','1','1',1.52877437244562,'4'
'3','1','4','1',0.0966672319813386,'4'
'3','1','5','1',-0.402905026320154,'4'
'3','1','3','1',0.0966672319813386,'4'
'3','1','2','2',-0.502819477980452,'3'
'3','1','1','2',-0.302990574659855,'3'
'3','1','4','2',-0.436209843540253,'3'
'3','1','5','2',-0.502819477980452,'3'
'3','1','3','2',-0.502819477980452,'3'
'3','1','2','1',-0.469514660760353,'3'
'3','1','1','1',-0.269685757439756,'3'
'3','1','4','1',-0.402905026320154,'3'
'3','1','5','1',-0.502819477980452,'3'
'3','1','3','1',-0.436209843540253,'3'
'4','1','2','2',-0.436209843540253,'2'
'4','1','1','2',0.862678028043628,'2'
'4','1','4','2',-0.103161671339258,'2'
'4','1','5','2',-0.469514660760353,'2'
'4','1','3','2',-0.269685757439756,'2'
'4','1','2','1',-0.502819477980452,'2'
'4','1','1','1',-0.369600209100054,'2'
'4','1','4','1',-0.469514660760353,'2'
'4','1','5','1',-0.502819477980452,'2'
'4','1','3','1',-0.502819477980452,'2'
'4','1','2','2',-0.302990574659855,'1'
'4','1','1','2',3.0607959645702,'1'
'4','1','4','2',0.562934673062732,'1'
'4','1','5','2',-0.369600209100054,'1'
'4','1','3','2',0.363105769742135,'1'
'4','1','2','1',-0.269685757439756,'1'
'4','1','1','1',2.19487071684761,'1'
'4','1','4','1',-0.00324721967895998,'1'
'4','1','5','1',-0.469514660760353,'1'
'4','1','3','1',-0.103161671339258,'1'
'4','1','2','2',-0.469514660760353,'4'
'4','1','1','2',0.0966672319813386,'4'
'4','1','4','2',-0.402905026320154,'4'
'4','1','5','2',-0.502819477980452,'4'
'4','1','3','2',-0.436209843540253,'4'
'4','1','2','1',-0.302990574659855,'4'
'4','1','1','1',1.36225028634512,'4'
'4','1','4','1',-0.236380940219656,'4'
'4','1','5','1',-0.469514660760353,'4'
'4','1','3','1',-0.269685757439756,'4'
'4','1','2','2',-0.469514660760353,'3'
'4','1','1','2',-0.402905026320154,'3'
'4','1','4','2',-0.502819477980452,'3'
'4','1','5','2',-0.502819477980452,'3'
'4','1','3','2',-0.502819477980452,'3'
'4','1','2','1',-0.469514660760353,'3'
'4','1','1','1',-0.336295391879955,'3'
'4','1','4','1',-0.502819477980452,'3'
'4','1','5','1',-0.502819477980452,'3'
'4','1','3','1',-0.502819477980452,'3'
'5','1','2','2',-0.469514660760353,'2'
'5','1','1','2',-0.236380940219656,'2'
'5','1','4','2',-0.402905026320154,'2'
'5','1','5','2',-0.469514660760353,'2'
'5','1','3','2',-0.436209843540253,'2'
'5','1','2','1',-0.502819477980452,'2'
'5','1','1','1',-0.402905026320154,'2'
'5','1','4','1',-0.502819477980452,'2'
'5','1','5','1',-0.502819477980452,'2'
'5','1','3','1',-0.502819477980452,'2'
'5','1','2','2',-0.469514660760353,'1'
'5','1','1','2',0.429715404182334,'1'
'5','1','4','2',-0.236380940219656,'1'
'5','1','5','2',-0.402905026320154,'1'
'5','1','3','2',-0.302990574659855,'1'
'5','1','2','1',-0.336295391879955,'1'
'5','1','1','1',0.0300575975411396,'1'
'5','1','4','1',-0.469514660760353,'1'
'5','1','5','1',-0.469514660760353,'1'
'5','1','3','1',-0.402905026320154,'1'
'5','1','2','2',-0.502819477980452,'4'
'5','1','1','2',-0.203076122999557,'4'
'5','1','4','2',-0.436209843540253,'4'
'5','1','5','2',-0.502819477980452,'4'
'5','1','3','2',-0.502819477980452,'4'
'5','1','2','1',-0.502819477980452,'4'
'5','1','1','1',-0.169771305779457,'4'
'5','1','4','1',-0.469514660760353,'4'
'5','1','5','1',-0.502819477980452,'4'
'5','1','3','1',-0.469514660760353,'4'
'5','1','2','2',-0.469514660760353,'3'
'5','1','1','2',-0.502819477980452,'3'
'5','1','4','2',-0.502819477980452,'3'
'5','1','5','2',-0.502819477980452,'3'
'5','1','3','2',-0.502819477980452,'3'
'5','1','2','1',-0.502819477980452,'3'
'5','1','1','1',-0.469514660760353,'3'
'5','1','4','1',-0.502819477980452,'3'
'5','1','5','1',-0.502819477980452,'3'
'5','1','3','1',-0.502819477980452,'3'
'1','2','2','2',-0.502819477980452,'2'
'1','2','1','2',-0.302990574659855,'2'
'1','2','4','2',-0.369600209100054,'2'
'1','2','5','2',-0.502819477980452,'2'
'1','2','3','2',-0.269685757439756,'2'
'1','2','2','1',-0.502819477980452,'2'
'1','2','1','1',-0.502819477980452,'2'
'1','2','4','1',-0.502819477980452,'2'
'1','2','5','1',-0.502819477980452,'2'
'1','2','3','1',-0.502819477980452,'2'
'1','2','2','2',-0.436209843540253,'1'
'1','2','1','2',1.76190809298631,'1'
'1','2','4','2',2.8609670612496,'1'
'1','2','5','2',0.0633624147612391,'1'
'1','2','3','2',2.8276622440295,'1'
'1','2','2','1',-0.469514660760353,'1'
'1','2','1','1',-0.236380940219656,'1'
'1','2','4','1',1.42885992078532,'1'
'1','2','5','1',-0.469514660760353,'1'
'1','2','3','1',-0.069856854119159,'1'
'1','2','2','2',-0.402905026320154,'4'
'1','2','1','2',0.829373210823528,'4'
'1','2','4','2',1.09581174858432,'4'
'1','2','5','2',-0.402905026320154,'4'
'1','2','3','2',0.463020221402434,'4'
'1','2','2','1',-0.469514660760353,'4'
'1','2','1','1',-0.236380940219656,'4'
'1','2','4','1',1.76190809298631,'4'
'1','2','5','1',-0.436209843540253,'4'
'1','2','3','1',0.0300575975411396,'4'
'1','2','2','2',-0.502819477980452,'3'
'1','2','1','2',-0.302990574659855,'3'
'1','2','4','2',-0.236380940219656,'3'
'1','2','5','2',-0.436209843540253,'3'
'1','2','3','2',-0.469514660760353,'3'
'1','2','2','1',-0.502819477980452,'3'
'1','2','1','1',-0.469514660760353,'3'
'1','2','4','1',-0.069856854119159,'3'
'1','2','5','1',-0.502819477980452,'3'
'1','2','3','1',-0.469514660760353,'3'
'2','2','2','2',-0.502819477980452,'2'
'2','2','1','2',-0.169771305779457,'2'
'2','2','4','2',-0.269685757439756,'2'
'2','2','5','2',-0.369600209100054,'2'
'2','2','3','2',-0.236380940219656,'2'
'2','2','2','1',-0.502819477980452,'2'
'2','2','1','1',-0.502819477980452,'2'
'2','2','4','1',-0.502819477980452,'2'
'2','2','5','1',-0.502819477980452,'2'
'2','2','3','1',-0.469514660760353,'2'
'2','2','2','2',-0.369600209100054,'1'
'2','2','1','2',5.69187652495806,'1'
'2','2','4','2',2.8276622440295,'1'
'2','2','5','2',1.06250693136422,'1'
'2','2','3','2',2.7943574268094,'1'
'2','2','2','1',-0.502819477980452,'1'
'2','2','1','1',0.429715404182334,'1'
'2','2','4','1',2.9608815129099,'1'
'2','2','5','1',-0.336295391879955,'1'
'2','2','3','1',0.363105769742135,'1'
'2','2','2','2',-0.302990574659855,'4'
'2','2','1','2',2.8942718784697,'4'
'2','2','4','2',1.72860327576622,'4'
'2','2','5','2',-0.169771305779457,'4'
'2','2','3','2',0.329800952522035,'4'
'2','2','2','1',-0.469514660760353,'4'
'2','2','1','1',0.229886500861737,'4'
'2','2','4','1',2.36139480294811,'4'
'2','2','5','1',-0.402905026320154,'4'
'2','2','3','1',0.762763576383329,'4'
'2','2','2','2',-0.469514660760353,'3'
'2','2','1','2',-0.0365520368990594,'3'
'2','2','4','2',-0.336295391879955,'3'
'2','2','5','2',-0.502819477980452,'3'
'2','2','3','2',-0.402905026320154,'3'
'2','2','2','1',-0.469514660760353,'3'
'2','2','1','1',-0.436209843540253,'3'
'2','2','4','1',-0.069856854119159,'3'
'2','2','5','1',-0.402905026320154,'3'
'2','2','3','1',-0.402905026320154,'3'
'3','2','2','2',-0.469514660760353,'2'
'3','2','1','2',0.129972049201438,'2'
'3','2','4','2',-0.136466488559358,'2'
'3','2','5','2',-0.436209843540253,'2'
'3','2','3','2',-0.203076122999557,'2'
'3','2','2','1',-0.469514660760353,'2'
'3','2','1','1',-0.436209843540253,'2'
'3','2','4','1',-0.502819477980452,'2'
'3','2','5','1',-0.469514660760353,'2'
'3','2','3','1',-0.502819477980452,'2'
'3','2','2','2',-0.436209843540253,'1'
'3','2','1','2',5.55865725607766,'1'
'3','2','4','2',2.02834663074711,'1'
'3','2','5','2',0.0633624147612391,'1'
'3','2','3','2',0.895982845263727,'1'
'3','2','2','1',-0.436209843540253,'1'
'3','2','1','1',2.4613092546084,'1'
'3','2','4','1',0.329800952522035,'1'
'3','2','5','1',-0.0365520368990594,'1'
'3','2','3','1',0.496325038622533,'1'
'3','2','2','2',-0.302990574659855,'4'
'3','2','1','2',2.8942718784697,'4'
'3','2','4','2',0.296496135301936,'4'
'3','2','5','2',-0.302990574659855,'4'
'3','2','3','2',-0.069856854119159,'4'
'3','2','2','1',-0.402905026320154,'4'
'3','2','1','1',1.96173699630691,'4'
'3','2','4','1',0.396410586962234,'4'
'3','2','5','1',-0.0365520368990594,'4'
'3','2','3','1',-0.269685757439756,'4'
'3','2','2','2',-0.502819477980452,'3'
'3','2','1','2',-0.136466488559358,'3'
'3','2','4','2',-0.402905026320154,'3'
'3','2','5','2',-0.469514660760353,'3'
'3','2','3','2',-0.469514660760353,'3'
'3','2','2','1',-0.402905026320154,'3'
'3','2','1','1',-0.069856854119159,'3'
'3','2','4','1',-0.402905026320154,'3'
'3','2','5','1',-0.436209843540253,'3'
'3','2','3','1',-0.469514660760353,'3'
'4','2','2','2',-0.469514660760353,'2'
'4','2','1','2',-0.136466488559358,'2'
'4','2','4','2',-0.269685757439756,'2'
'4','2','5','2',-0.502819477980452,'2'
'4','2','3','2',-0.369600209100054,'2'
'4','2','2','1',-0.502819477980452,'2'
'4','2','1','1',-0.502819477980452,'2'
'4','2','4','1',-0.502819477980452,'2'
'4','2','5','1',-0.469514660760353,'2'
'4','2','3','1',-0.502819477980452,'2'
'4','2','2','2',-0.369600209100054,'1'
'4','2','1','2',5.39213316997716,'1'
'4','2','4','2',1.39555510356522,'1'
'4','2','5','2',-0.203076122999557,'1'
'4','2','3','2',0.363105769742135,'1'
'4','2','2','1',-0.469514660760353,'1'
'4','2','1','1',1.56207918966572,'1'
'4','2','4','1',0.0300575975411396,'1'
'4','2','5','1',-0.402905026320154,'1'
'4','2','3','1',-0.269685757439756,'1'
'4','2','2','2',-0.336295391879955,'4'
'4','2','1','2',2.22817553406771,'4'
'4','2','4','2',-0.169771305779457,'4'
'4','2','5','2',-0.469514660760353,'4'
'4','2','3','2',-0.302990574659855,'4'
'4','2','2','1',-0.436209843540253,'4'
'4','2','1','1',1.02920211414413,'4'
'4','2','4','1',-0.203076122999557,'4'
'4','2','5','1',-0.336295391879955,'4'
'4','2','3','1',-0.302990574659855,'4'
'4','2','2','2',-0.502819477980452,'3'
'4','2','1','2',0.196581683641637,'3'
'4','2','4','2',-0.336295391879955,'3'
'4','2','5','2',-0.502819477980452,'3'
'4','2','3','2',-0.402905026320154,'3'
'4','2','2','1',-0.469514660760353,'3'
'4','2','1','1',-0.336295391879955,'3'
'4','2','4','1',-0.469514660760353,'3'
'4','2','5','1',-0.502819477980452,'3'
'4','2','3','1',-0.436209843540253,'3'
'5','2','2','2',-0.502819477980452,'2'
'5','2','1','2',-0.103161671339258,'2'
'5','2','4','2',-0.436209843540253,'2'
'5','2','5','2',-0.502819477980452,'2'
'5','2','3','2',-0.469514660760353,'2'
'5','2','2','1',-0.502819477980452,'2'
'5','2','1','1',-0.402905026320154,'2'
'5','2','4','1',-0.502819477980452,'2'
'5','2','5','1',-0.502819477980452,'2'
'5','2','3','1',-0.502819477980452,'2'
'5','2','2','2',-0.402905026320154,'1'
'5','2','1','2',1.19572620024462,'1'
'5','2','4','2',0.0300575975411396,'1'
'5','2','5','2',-0.469514660760353,'1'
'5','2','3','2',-0.302990574659855,'1'
'5','2','2','1',-0.502819477980452,'1'
'5','2','1','1',0.0966672319813386,'1'
'5','2','4','1',-0.369600209100054,'1'
'5','2','5','1',-0.469514660760353,'1'
'5','2','3','1',-0.502819477980452,'1'
'5','2','2','2',-0.469514660760353,'4'
'5','2','1','2',0.229886500861737,'4'
'5','2','4','2',-0.302990574659855,'4'
'5','2','5','2',-0.469514660760353,'4'
'5','2','3','2',-0.369600209100054,'4'
'5','2','2','1',-0.502819477980452,'4'
'5','2','1','1',-0.0365520368990594,'4'
'5','2','4','1',-0.469514660760353,'4'
'5','2','5','1',-0.469514660760353,'4'
'5','2','3','1',-0.502819477980452,'4'
'5','2','2','2',-0.502819477980452,'3'
'5','2','1','2',-0.269685757439756,'3'
'5','2','4','2',-0.469514660760353,'3'
'5','2','5','2',-0.502819477980452,'3'
'5','2','3','2',-0.502819477980452,'3'
'5','2','2','1',-0.502819477980452,'3'
'5','2','1','1',-0.502819477980452,'3'
'5','2','4','1',-0.502819477980452,'3'
'5','2','5','1',-0.502819477980452,'3'
'5','2','3','1',-0.502819477980452,'3'
